start_index,matrix_profile,nearest_neighbor_index
671,10.475339389256368,14810
672,10.690884556250268,14811
673,10.701240223527154,14812
674,10.400110847437807,3354
675,10.690517795967962,12193
676,10.51810416705211,12194
677,10.709734566922974,12195
678,10.85025598127902,12196
679,10.849605615481806,2087
680,10.934312242175697,2088
681,10.869037446984525,2089
682,10.9960138849546,2090
683,11.014577338663477,2091
684,11.128686671036775,2092
685,11.103391696709247,1303
686,11.124543459592594,2094
687,10.78512077339641,1305
688,10.809534474100722,1306
689,10.485995539151293,1307
690,10.528865663468375,1308
691,10.753527401329357,1309
692,10.744615105405927,2100
693,10.68161116149222,2101
694,10.71404476470045,2102
695,10.708581578114641,2103
696,10.661949745005263,2104
697,10.601801690197055,2105
698,10.645558597909016,2106
699,10.644658484929279,2107
700,10.597434641379305,2108
701,10.707465004270217,2109
702,10.698498606030604,2110
703,10.641029578964574,2111
704,10.623587808897831,1354
705,10.605360554659665,1355
706,10.57207300232618,1356
707,10.57642142235968,1357
708,10.613219798521461,1358
709,10.611687200089518,1359
710,10.748499248986347,1360
711,10.714646658103833,2119
712,10.800550415814568,2120
713,10.837001848912012,2121
714,10.968171487743712,1364
715,11.049936473014764,1365
716,11.076098333774182,2741
717,11.167381383624727,2742
718,10.973792494391429,4038
719,11.130466806800792,4039
720,11.047554621765808,1370
721,11.052903841325435,1371
722,11.06555638759277,1372
723,11.096795302900494,1373
724,11.049358489685375,1374
725,10.934203389239036,1375
726,10.783565495173038,1376
727,10.496205660708174,1377
728,10.569334133620803,1378
729,10.449866027363969,1379
730,10.416420230382279,1380
731,10.394012638902097,1381
732,10.450328073617333,1382
733,10.464436103013702,1383
734,10.612905738545745,1384
735,10.517560593876905,1385
736,10.537852585593136,1386
737,10.78543925183144,5388
738,10.652715735296415,5389
739,10.74851492169617,5390
740,10.75626444011183,5391
741,10.730873235887787,5392
742,10.726698320761786,5393
743,10.729627749648271,5394
744,10.748274582528262,5395
745,10.789963175050946,5396
746,10.821509340984896,5397
747,10.699698574420141,5398
748,10.670419334678437,5399
749,10.74866726932703,5400
750,10.7453091666477,5401
751,10.841141908671364,5402
752,10.894676840333881,5403
753,10.669011167360644,1327
754,10.798166064607257,4781
755,10.83635647928704,19743
756,10.401416034242795,19744
757,10.142079607139785,19748
758,10.180073707229818,19749
759,11.309898817828724,2225
760,11.28920259002873,1334
761,11.278518987328864,1335
762,11.056454782071118,2228
763,11.166641914390551,2229
764,11.28169224417863,1338
765,11.164885863642116,2231
766,11.251025045212364,2232
767,11.21022699394053,2233
768,11.304733125344798,2234
769,11.233526526301656,1343
770,11.284777007558176,1344
771,11.311083880775682,1345
772,11.330319294947275,1346
773,11.295165065429321,1347
774,11.143549059601266,25555
775,10.984925767912989,14928
776,10.993075922799896,14929
777,10.978869100731036,14930
778,11.06905225975423,14931
779,11.223236844322441,14932
780,10.835871376317135,14933
781,10.834091739325592,14934
782,11.036926765473082,14935
783,10.84872465755353,19744
784,10.84660218272699,19745
785,10.997125244774251,19746
786,11.17307254878823,14939
787,11.189165575036133,1813
788,10.9723312810291,12684
789,11.316751165397022,2155
790,11.309987933035785,8163
791,11.287493725050265,12838
792,11.306251886760641,12839
